Date	Cases - Total	Deaths - Total	Hospitalizations - Total
1/3/2020	0	0	2
2/3/2020	0	0	1
3/3/2020	0	0	3
4/3/2020	0	0	2
5/3/2020	1	0	6
6/3/2020	3	0	2
7/3/2020	3	0	3
8/3/2020	3	0	7
9/3/2020	5	0	3
10/3/2020	11	0	5
11/3/2020	13	0	7
12/3/2020	21	0	7
13/3/2020	32	0	8
14/3/2020	31	0	9
15/3/2020	40	0	21
16/3/2020	78	1	14
17/3/2020	96	1	24
18/3/2020	162	1	39
19/3/2020	184	2	36
20/3/2020	155	0	52
21/3/2020	125	2	62
22/3/2020	168	2	68
23/3/2020	290	3	101
24/3/2020	350	2	119
25/3/2020	367	5	124
26/3/2020	413	2	132
27/3/2020	404	8	154
28/3/2020	248	4	132
29/3/2020	282	20	130
30/3/2020	439	12	158
31/3/2020	490	16	161
1/4/2020	461	24	181
2/4/2020	437	15	170
3/4/2020	466	24	160
4/4/2020	327	22	159
5/4/2020	292	26	147
6/4/2020	583	22	200
7/4/2020	556	25	194
8/4/2020	705	36	172
9/4/2020	575	25	150
10/4/2020	571	32	155
11/4/2020	397	33	142
12/4/2020	341	33	136
13/4/2020	694	33	153
14/4/2020	666	33	166
15/4/2020	632	31	149
16/4/2020	678	31	152
17/4/2020	776	43	147
18/4/2020	535	39	161
19/4/2020	459	35	158
20/4/2020	990	40	181
21/4/2020	875	36	171
22/4/2020	1057	45	145
23/4/2020	1468	36	167
24/4/2020	1075	54	168
25/4/2020	637	38	118
26/4/2020	434	51	129
27/4/2020	1158	35	169
28/4/2020	1324	56	174
29/4/2020	1152	44	158
30/4/2020	1275	40	168
1/5/2020	1175	39	140
2/5/2020	719	49	166
3/5/2020	466	45	138
4/5/2020	1122	48	127
5/5/2020	1092	58	156
6/5/2020	971	44	134
7/5/2020	940	49	140
8/5/2020	922	44	98
9/5/2020	520	53	97
10/5/2020	307	38	99
11/5/2020	1017	38	128
12/5/2020	942	46	124
13/5/2020	877	45	124
14/5/2020	779	45	131
15/5/2020	970	49	110
16/5/2020	514	28	102
17/5/2020	326	41	97
18/5/2020	945	33	113
19/5/2020	889	27	100
20/5/2020	779	29	94
21/5/2020	800	34	109
22/5/2020	724	36	92
23/5/2020	327	30	91
24/5/2020	279	27	92
25/5/2020	252	23	78
26/5/2020	753	23	77
27/5/2020	615	26	65
28/5/2020	524	22	70
29/5/2020	460	20	50
30/5/2020	238	21	55
31/5/2020	121	22	39
1/6/2020	234	21	63
2/6/2020	247	25	50
3/6/2020	280	21	50
4/6/2020	319	15	31
5/6/2020	338	17	42
6/6/2020	170	20	38
7/6/2020	111	20	31
8/6/2020	274	15	43
9/6/2020	255	23	38
10/6/2020	233	12	29
11/6/2020	203	10	28
12/6/2020	248	21	24
13/6/2020	120	18	23
14/6/2020	92	12	27
15/6/2020	235	20	31
16/6/2020	210	11	24
17/6/2020	219	21	29
18/6/2020	184	14	29
19/6/2020	220	15	37
20/6/2020	125	10	20
21/6/2020	48	11	16
22/6/2020	218	9	32
23/6/2020	234	8	26
24/6/2020	245	9	25
25/6/2020	249	11	22
26/6/2020	219	13	29
27/6/2020	131	5	13
28/6/2020	110	5	27
29/6/2020	280	7	31
30/6/2020	265	3	26
1/7/2020	266	13	22
2/7/2020	256	6	25
3/7/2020	176	5	29
4/7/2020	63	5	14
5/7/2020	89	3	16
6/7/2020	283	5	31
7/7/2020	341	4	25
8/7/2020	308	4	28
9/7/2020	288	8	29
10/7/2020	346	6	29
11/7/2020	154	2	19
12/7/2020	97	4	15
13/7/2020	337	3	33
14/7/2020	324	3	23
15/7/2020	268	7	23
16/7/2020	297	2	28
17/7/2020	326	3	26
18/7/2020	132	4	15
19/7/2020	100	2	22
20/7/2020	394	5	25
21/7/2020	291	1	30
22/7/2020	365	4	34
23/7/2020	319	3	29
24/7/2020	347	3	26
25/7/2020	156	8	21
26/7/2020	97	6	18
27/7/2020	362	1	19
28/7/2020	332	3	17
29/7/2020	446	3	19
30/7/2020	340	3	17
31/7/2020	392	2	24
1/8/2020	141	5	22
2/8/2020	95	3	21
3/8/2020	428	3	31
4/8/2020	369	2	32
5/8/2020	379	4	20
6/8/2020	349	4	21
7/8/2020	418	2	25
8/8/2020	177	3	16
9/8/2020	115	2	17
10/8/2020	376	1	29
11/8/2020	386	4	22
12/8/2020	433	2	28
13/8/2020	391	4	24
14/8/2020	347	3	26
15/8/2020	221	5	21
16/8/2020	120	3	18
17/8/2020	493	3	26
18/8/2020	412	1	25
19/8/2020	485	5	22
20/8/2020	422	3	24
21/8/2020	430	5	21
22/8/2020	191	2	17
23/8/2020	130	1	26
24/8/2020	554	3	24
25/8/2020	413	4	27
26/8/2020	388	3	35
27/8/2020	382	2	24
28/8/2020	382	4	25
29/8/2020	234	4	25
30/8/2020	100	5	22
31/8/2020	413	2	30
1/9/2020	330	3	17
2/9/2020	406	3	21
3/9/2020	341	3	25
4/9/2020	395	2	23
5/9/2020	203	3	23
6/9/2020	143	2	11
7/9/2020	72	1	17
8/9/2020	369	1	21
9/9/2020	400	5	21
10/9/2020	328	2	19
11/9/2020	342	5	19
12/9/2020	136	0	11
13/9/2020	124	3	26
14/9/2020	430	3	19
15/9/2020	352	1	21
16/9/2020	366	4	32
17/9/2020	392	0	25
18/9/2020	358	4	21
19/9/2020	170	2	19
20/9/2020	108	6	17
21/9/2020	422	2	26
22/9/2020	351	2	27
23/9/2020	391	6	25
24/9/2020	408	5	21
25/9/2020	380	3	37
26/9/2020	233	4	19
27/9/2020	168	1	30
28/9/2020	420	2	28
29/9/2020	381	6	28
30/9/2020	462	2	22
1/10/2020	364	4	26
2/10/2020	414	4	27
3/10/2020	227	3	31
4/10/2020	152	5	22
5/10/2020	553	3	21
6/10/2020	560	2	29
7/10/2020	549	1	26
8/10/2020	612	3	28
9/10/2020	668	4	30
10/10/2020	442	5	31
11/10/2020	301	4	30
12/10/2020	682	4	37
13/10/2020	879	5	31
14/10/2020	850	3	28
15/10/2020	907	2	37
16/10/2020	954	3	40
17/10/2020	547	5	44
18/10/2020	347	1	48
19/10/2020	1165	3	51
20/10/2020	1197	5	56
21/10/2020	1181	6	60
22/10/2020	1307	4	67
23/10/2020	1017	4	65
24/10/2020	885	5	62
25/10/2020	526	10	44
26/10/2020	1541	8	78
27/10/2020	1628	4	89
28/10/2020	1739	9	91
29/10/2020	189	4	88
30/10/2020	1872	4	84
31/10/2020	1069	10	82
1/11/2020	734	6	74
2/11/2020	2323	15	109
3/11/2020	2143	13	108
4/11/2020	2511	8	96
5/11/2020	264	6	115
6/11/2020	2796	10	124
7/11/2020	1571	14	114
8/11/2020	1105	11	109
9/11/2020	3229	14	145
10/11/2020	3356	14	140
11/11/2020	2491	9	128
12/11/2020	2928	18	114
13/11/2020	2694	19	121
14/11/2020	1399	16	104
15/11/2020	835	13	124
16/11/2020	2557	26	153
17/11/2020	2465	21	144
18/11/2020	2327	17	120
19/11/2020	2169	17	119
20/11/2020	2302	31	124
21/11/2020	1263	18	99
22/11/2020	781	15	102
23/11/2020	2377	19	126
24/11/2020	1927	17	123
25/11/2020	1834	17	110
26/11/2020	266	22	103
27/11/2020	1255	23	136
28/11/2020	1373	17	117
29/11/2020	898	17	93
30/11/2020	239	23	123
1/12/2020	2188	36	129
2/12/2020	2051	35	107
3/12/2020	2072	30	117
4/12/2020	1856	32	104
5/12/2020	1205	13	84
6/12/2020	709	27	91
7/12/2020	2067	35	108
8/12/2020	2056	35	85
9/12/2020	1755	28	113
10/12/2020	1705	19	116
11/12/2020	1669	28	110
12/12/2020	914	21	79
13/12/2020	609	23	72
14/12/2020	1462	21	106
15/12/2020	1616	22	87
16/12/2020	1386	25	83
17/12/2020	1348	24	90
18/12/2020	1301	19	81
19/12/2020	851	24	80
20/12/2020	581	30	70
21/12/2020	1464	26	92
22/12/2020	1338	17	84
23/12/2020	1222	21	95
24/12/2020	620	21	49
25/12/2020	160	20	69
26/12/2020	956	19	81
27/12/2020	613	24	92
28/12/2020	1666	18	79
29/12/2020	1712	21	66
30/12/2020	1447	23	63
31/12/2020	970	22	71
1/1/2021	266	20	73
2/1/2021	1113	21	62
3/1/2021	647	20	63
4/1/2021	1875	10	86
5/1/2021	1599	16	85
6/1/2021	1455	13	66
7/1/2021	1382	17	85
8/1/2021	1204	18	48
9/1/2021	779	17	51
10/1/2021	493	18	63
11/1/2021	1354	16	83
12/1/2021	1084	12	57
13/1/2021	1111	18	63
14/1/2021	1051	15	59
15/1/2021	1023	11	53
16/1/2021	624	15	60
17/1/2021	393	15	52
18/1/2021	715	14	65
19/1/2021	1082	19	65
20/1/2021	788	12	57
21/1/2021	816	10	61
22/1/2021	737	12	49
23/1/2021	585	9	54
24/1/2021	339	16	47
25/1/2021	858	11	68
26/1/2021	643	12	53
27/1/2021	657	14	47
28/1/2021	606	10	46
29/1/2021	589	16	42
30/1/2021	419	12	35
31/1/2021	160	16	36
1/2/2021	607	9	41
2/2/2021	646	6	47
3/2/2021	571	7	40
4/2/2021	537	9	51
5/2/2021	403	8	44
6/2/2021	263	13	28
7/2/2021	212	8	38
8/2/2021	387	13	53
9/2/2021	415	8	35
10/2/2021	367	11	48
11/2/2021	438	10	38
12/2/2021	357	13	28
13/2/2021	221	8	28
14/2/2021	143	9	20
15/2/2021	259	7	23
16/2/2021	213	5	34
17/2/2021	385	8	33
18/2/2021	315	6	36
19/2/2021	319	7	32
20/2/2021	213	9	17
21/2/2021	156	9	22
22/2/2021	390	8	28
23/2/2021	313	12	18
24/2/2021	337	4	32
25/2/2021	282	8	21
26/2/2021	358	6	20
27/2/2021	177	7	17
28/2/2021	148	3	18
1/3/2021	312	2	26
2/3/2021	328	7	30
3/3/2021	336	5	23
4/3/2021	287	8	26
5/3/2021	292	6	23
6/3/2021	217	2	31
7/3/2021	174	4	12
8/3/2021	326	5	23
9/3/2021	332	5	22
10/3/2021	337	10	17
11/3/2021	355	1	25
12/3/2021	351	9	16
13/3/2021	256	2	16
14/3/2021	182	4	18
15/3/2021	367	6	34
16/3/2021	450	3	28
