Data	Total de casos	Casos por dia	Óbitos por dia
19/5/2020	65995	2929	324
20/5/2020	69859	3864	216
21/5/2020	73739	3880	195
22/5/2020	76871	3132	215
23/5/2020	80558	3687	272
24/5/2020	82161	1603	118
25/5/2020	83625	1464	57
26/5/2020	86017	2392	203
27/5/2020	89483	3466	289
28/5/2020	95865	6382	268
29/5/2020	101556	5691	295
30/5/2020	107142	5586	257
31/5/2020	109698	2556	83
1/6/2020	111296	1598	52
2/6/2020	118295	6999	327
3/6/2020	123483	5188	282
4/6/2020	129200	5717	285
5/6/2020	134565	5365	281
6/6/2020	140549	5984	216
7/6/2020	143073	2524	87
8/6/2020	144593	1520	43
9/6/2020	150138	5545	334
10/6/2020	156316	6178	340
11/6/2020	162520	6204	283
12/6/2020	167900	5380	223
13/6/2020	172875	4975	213
14/6/2020	178202	5327	113
15/6/2020	181460	3258	73
16/6/2020	190285	8825	365
17/6/2020	191517	1232	389
18/6/2020	192628	1111	325
19/6/2020	211658	19030	386
20/6/2020	215793	4135	262
21/6/2020	219185	3392	94
22/6/2020	221973	2788	46
23/6/2020	229475	7502	434
24/6/2020	238822	9347	284
25/6/2020	248587	9765	407
26/6/2020	258508	9921	207
27/6/2020	265581	7073	297
28/6/2020	271737	6156	75
29/6/2020	275145	3408	60
30/6/2020	281380	6235	365
1/7/2020	289935	8555	267
2/7/2020	302179	12244	321
3/7/2020	310517	8338	343
4/7/2020	312530	2013	302
5/7/2020	320179	7649	82
6/7/2020	323070	2891	56
7/7/2020	332708	9638	341
8/7/2020	341365	8657	313
9/7/2020	349715	8350	330
10/7/2020	359110	9395	324
11/7/2020	366890	7780	260
12/7/2020	371997	5107	146
13/7/2020	374607	2610	59
14/7/2020	386607	12000	417
15/7/2020	393176	6569	316
16/7/2020	402048	8872	398
17/7/2020	407415	5367	339
18/7/2020	412027	4612	270
19/7/2020	415049	3022	85
20/7/2020	416434	1385	56
21/7/2020	422669	6235	383
22/7/2020	439446	16777	361
23/7/2020	452007	12561	362
24/7/2020	463218	11211	312
25/7/2020	479481	16263	311
26/7/2020	483982	4501	89
27/7/2020	487654	3672	70
28/7/2020	500301	12647	383
29/7/2020	514197	13896	330
30/7/2020	529006	14809	321
31/7/2020	542304	13298	287
1/8/2020	552318	10014	239
2/8/2020	558685	6367	81
3/8/2020	560218	1533	48
4/8/2020	575589	15371	337
5/8/2020	585265	9676	407
6/8/2020	598670	13405	339
7/8/2020	608379	9709	287
8/8/2020	621731	13352	281
9/8/2020	627126	5395	98
10/8/2020	628415	1289	37
11/8/2020	639562	11147	420
12/8/2020	655181	15619	298
13/8/2020	674455	19274	455
14/8/2020	686122	11667	289
15/8/2020	697530	11408	167
16/8/2020	699493	1963	72
17/8/2020	702665	3172	47
18/8/2020	711530	8865	416
19/8/2020	721377	9847	276
20/8/2020	730828	9451	314
21/8/2020	735960	5132	250
22/8/2020	749244	13284	237
23/8/2020	754129	4885	75
24/8/2020	756480	2351	38
25/8/2020	765670	9190	407
26/8/2020	776135	10465	282
27/8/2020	784453	8318	221
28/8/2020	796209	11756	279
29/8/2020	801422	5213	250
30/8/2020	803404	1982	34
31/8/2020	804342	938	36
1/9/2020	814375	10033	361
2/9/2020	826331	11956	298
3/9/2020	837978	11647	232
4/9/2020	845016	7038	186
5/9/2020	853085	8069	222
6/9/2020	855722	2637	40
7/9/2020	857330	1608	24
8/9/2020	858783	1453	53
9/9/2020	866576	7793	391
10/9/2020	874754	8178	283
11/9/2020	882809	8055	234
12/9/2020	890690	7881	229
13/9/2020	892257	1567	39
14/9/2020	893349	1092	36
15/9/2020	901271	7922	321
16/9/2020	909428	8157	290
17/9/2020	916821	7393	219
18/9/2020	924532	7711	206
19/9/2020	931673	7141	249
20/9/2020	935300	3627	25
21/9/2020	937332	2032	32
22/9/2020	945422	8090	282
23/9/2020	951973	6551	226
24/9/2020	958240	6267	185
25/9/2020	964921	6681	200
26/9/2020	970888	5967	186
27/9/2020	972237	1349	45
28/9/2020	973142	905	17
29/9/2020	979519	6377	266
30/9/2020	985628	6109	231
1/10/2020	991725	6097	182
2/10/2020	997333	5608	152
3/10/2020	1003429	6096	180
4/10/2020	1003902	473	42
5/10/2020	1004579	677	42
6/10/2020	1010839	6260	270
7/10/2020	1016755	5916	179
