dates 	cases	deaths
19/02/2020	0.142857143	0
20/02/2020	0.142857143	0
21/02/2020	0.285714286	0
22/02/2020	0.285714286	0
23/02/2020	0.285714286	0
24/02/2020	0.142857143	0
25/02/2020	0.142857143	0
26/02/2020	0.285714286	0
27/02/2020	0.285714286	0
28/02/2020	0.142857143	0
29/02/2020	0.714285714	0
01/03/2020	0.857142857	0
02/03/2020	2	0
03/03/2020	2	0
04/03/2020	2.714285714	0
05/03/2020	2.714285714	0.142857143
06/03/2020	3.428571429	0.142857143
07/03/2020	3.857142857	0.142857143
08/03/2020	4.714285714	0.142857143
09/03/2020	4.571428571	0.142857143
10/03/2020	6.142857143	0.142857143
11/03/2020	6.571428571	0.142857143
12/03/2020	6.571428571	0
13/03/2020	10.14285714	0.428571429
14/03/2020	21	0.857142857
15/03/2020	26.42857143	0.857142857
16/03/2020	31.14285714	1
17/03/2020	40.57142857	1.142857143
18/03/2020	50.14285714	1.285714286
19/03/2020	50.14285714	1.285714286
20/03/2020	52.71428571	1.285714286
21/03/2020	61.57142857	0.857142857
22/03/2020	61.14285714	1
23/03/2020	64.85714286	0.857142857
24/03/2020	63.42857143	1
25/03/2020	65.71428571	1
26/03/2020	65.71428571	1
27/03/2020	71.14285714	0.857142857
28/03/2020	56.57142857	1.571428571
29/03/2020	58.14285714	1.571428571
30/03/2020	56.57142857	2.428571429
31/03/2020	54.57142857	2.714285714
01/04/2020	45.57142857	3
02/04/2020	45.57142857	3
03/04/2020	42.28571429	2.857142857
04/04/2020	39.71428571	2.714285714
05/04/2020	38.57142857	3.285714286
06/04/2020	35.57142857	2.714285714
07/04/2020	33.71428571	2.857142857
08/04/2020	34.57142857	2.857142857
09/04/2020	34.57142857	2.857142857
10/04/2020	32	4.285714286
11/04/2020	32.28571429	4.142857143
12/04/2020	32.14285714	3.857142857
13/04/2020	29.28571429	3.857142857
14/04/2020	29.71428571	3.285714286
15/04/2020	28.85714286	3.285714286
16/04/2020	28.85714286	3.285714286
17/04/2020	29.85714286	2.428571429
18/04/2020	29.57142857	2.142857143
19/04/2020	33.42857143	2.142857143
20/04/2020	35.57142857	2.428571429
21/04/2020	33.57142857	2.857142857
22/04/2020	43	2.714285714
23/04/2020	43	2.714285714
24/04/2020	42.71428571	2.428571429
25/04/2020	47	2.571428571
26/04/2020	41.71428571	2.714285714
27/04/2020	41.14285714	2.428571429
28/04/2020	41.71428571	2
29/04/2020	31.85714286	2
30/04/2020	31.85714286	2
01/05/2020	32.28571429	2
02/05/2020	25.57142857	2.285714286
03/05/2020	24	2.142857143
04/05/2020	25.14285714	2.142857143
05/05/2020	24.28571429	2.142857143
06/05/2020	22.71428571	2.142857143
07/05/2020	22.71428571	2.142857143
08/05/2020	18.42857143	1.857142857
09/05/2020	18.28571429	1.428571429
10/05/2020	17.28571429	1.142857143
11/05/2020	14.85714286	1.285714286
12/05/2020	13.14285714	1.857142857
13/05/2020	14	1.714285714
14/05/2020	14	1.714285714
15/05/2020	13	1.857142857
16/05/2020	12.28571429	2.142857143
17/05/2020	13	2.428571429
18/05/2020	12.42857143	2.428571429
19/05/2020	14.28571429	2.142857143
20/05/2020	12.71428571	2.285714286
21/05/2020	12.71428571	2.285714286
22/05/2020	12.28571429	2.571428571
23/05/2020	13.57142857	2.142857143
24/05/2020	11.85714286	1.857142857
25/05/2020	11.28571429	1.714285714
26/05/2020	7.857142857	1.285714286
27/05/2020	8	1
28/05/2020	8	1
29/05/2020	9.571428571	0.714285714
30/05/2020	8.571428571	0.714285714
31/05/2020	10.42857143	0.714285714
01/06/2020	10.57142857	0.428571429
02/06/2020	10	0.571428571
03/06/2020	8.428571429	0.571428571
04/06/2020	8.428571429	0.571428571
05/06/2020	8.857142857	0.285714286
06/06/2020	9.714285714	0.285714286
07/06/2020	8.142857143	0.142857143
08/06/2020	8.857142857	0.142857143
09/06/2020	11	0.142857143
10/06/2020	11	0.142857143
11/06/2020	11	0.142857143
12/06/2020	12.28571429	0.142857143
13/06/2020	12.42857143	0.142857143
14/06/2020	13.57142857	0.142857143
15/06/2020	12.71428571	0.142857143
16/06/2020	11.57142857	0
17/06/2020	11.57142857	0
18/06/2020	11.57142857	0
19/06/2020	11	0.142857143
20/06/2020	11.28571429	0.285714286
21/06/2020	10.57142857	0.428571429
22/06/2020	12.28571429	0.714285714
23/06/2020	12.57142857	0.857142857
24/06/2020	12.57142857	0.857142857
25/06/2020	12.57142857	0.857142857
26/06/2020	11.71428571	0.714285714
27/06/2020	11.57142857	0.571428571
28/06/2020	9.571428571	0.428571429
29/06/2020	10.14285714	0.571428571
30/06/2020	9.857142857	0.428571429
