date_of_interest	CASE_COUNT	HOSPITALIZED_COUNT	DEATH_COUNT
29/02/2020	1	1	0
01/03/2020	0	1	0
02/03/2020	0	2	0
03/03/2020	1	7	0
04/03/2020	5	2	0
05/03/2020	3	14	0
06/03/2020	8	8	0
07/03/2020	7	8	0
08/03/2020	21	18	0
09/03/2020	57	37	0
10/03/2020	69	60	0
11/03/2020	155	79	1
12/03/2020	355	106	0
13/03/2020	619	151	0
14/03/2020	642	176	2
15/03/2020	1034	209	4
16/03/2020	2121	341	8
17/03/2020	2452	386	8
18/03/2020	2971	493	20
19/03/2020	3706	633	24
20/03/2020	4007	737	47
21/03/2020	2639	737	45
22/03/2020	2580	774	49
23/03/2020	3570	1136	82
24/03/2020	4496	1301	95
25/03/2020	4874	1421	124
26/03/2020	5044	1532	186
27/03/2020	5119	1572	217
28/03/2020	3479	1380	273
29/03/2020	3560	1504	290
30/03/2020	6129	1850	323
31/03/2020	5458	1782	386
01/04/2020	5449	1739	447
02/04/2020	5746	1662	498
03/04/2020	5670	1704	499
04/04/2020	3866	1442	510
05/04/2020	3780	1397	578
06/04/2020	6353	1743	576
07/04/2020	6044	1583	598
08/04/2020	5575	1542	568
09/04/2020	5070	1340	559
10/04/2020	4510	1286	537
11/04/2020	3732	1041	544
12/04/2020	2888	947	573
13/04/2020	3311	1148	567
14/04/2020	4144	977	507
15/04/2020	3876	863	455
16/04/2020	3530	781	413
17/04/2020	3586	786	384
18/04/2020	2172	583	390
19/04/2020	2343	534	399
20/04/2020	3792	628	362
21/04/2020	3062	585	323
22/04/2020	3446	512	311
23/04/2020	2841	443	331
24/04/2020	2535	461	314
25/04/2020	1595	322	265
26/04/2020	1003	312	245
27/04/2020	2290	369	270
28/04/2020	2726	349	229
29/04/2020	2340	308	237
30/04/2020	2022	251	223
01/05/2020	1887	262	210
02/05/2020	1058	204	189
03/05/2020	787	215	177
04/05/2020	1550	238	157
05/05/2020	1512	212	152
06/05/2020	1397	211	151
07/05/2020	1238	175	141
08/05/2020	1079	169	131
09/05/2020	657	121	99
10/05/2020	457	104	102
11/05/2020	1231	180	103
12/05/2020	1285	111	90
13/05/2020	1333	128	83
14/05/2020	1110	142	70
15/05/2020	873	126	86
16/05/2020	485	91	84
17/05/2020	360	81	77
18/05/2020	895	112	59
19/05/2020	1003	115	55
20/05/2020	1077	79	79
21/05/2020	1069	84	44
22/05/2020	1036	100	66
23/05/2020	455	75	60
24/05/2020	467	86	48
25/05/2020	464	79	47
26/05/2020	1050	75	36
27/05/2020	741	76	48
28/05/2020	646	79	38
29/05/2020	639	85	43
30/05/2020	346	54	52
31/05/2020	230	60	39
01/06/2020	686	82	34
02/06/2020	570	63	38
03/06/2020	515	74	43
04/06/2020	517	75	33
05/06/2020	402	55	27
06/06/2020	247	37	34
07/06/2020	197	54	25
08/06/2020	447	62	39
09/06/2020	419	65	30
10/06/2020	363	63	32
11/06/2020	363	50	21
12/06/2020	409	52	22
13/06/2020	196	35	15
14/06/2020	180	46	23
15/06/2020	380	53	20
16/06/2020	419	61	16
17/06/2020	356	50	20
18/06/2020	378	57	15
19/06/2020	361	45	15
20/06/2020	203	26	17
21/06/2020	172	43	22
22/06/2020	402	49	17
23/06/2020	381	44	17
24/06/2020	381	53	18
25/06/2020	298	42	15
26/06/2020	317	33	17
27/06/2020	206	42	12
28/06/2020	201	32	11
29/06/2020	437	48	16
30/06/2020	441	44	11
01/07/2020	395	38	9
02/07/2020	416	46	16
03/07/2020	234	30	11
04/07/2020	120	30	5
05/07/2020	155	28	8
06/07/2020	431	54	7
07/07/2020	461	47	6
08/07/2020	437	34	13
09/07/2020	391	46	5
10/07/2020	306	44	5
11/07/2020	259	34	8
12/07/2020	223	26	4
13/07/2020	483	49	13
14/07/2020	402	43	10
15/07/2020	440	44	12
16/07/2020	411	35	6
17/07/2020	413	49	9
18/07/2020	216	27	9
19/07/2020	176	38	7
20/07/2020	401	38	8
21/07/2020	340	25	6
22/07/2020	329	40	6
23/07/2020	308	32	7
24/07/2020	298	40	4
25/07/2020	153	36	10
26/07/2020	140	25	7
27/07/2020	312	38	3
28/07/2020	313	37	12
29/07/2020	287	30	5
30/07/2020	274	36	4
31/07/2020	262	34	3
01/08/2020	189	27	6
02/08/2020	135	33	2
03/08/2020	349	38	2
04/08/2020	187	32	4
05/08/2020	298	39	5
06/08/2020	288	34	5
07/08/2020	255	23	2
08/08/2020	160	20	4
09/08/2020	133	27	3
10/08/2020	312	41	5
11/08/2020	263	25	4
12/08/2020	320	30	1
13/08/2020	276	38	3
14/08/2020	277	38	2
15/08/2020	151	23	4
16/08/2020	140	21	5
17/08/2020	333	34	5
18/08/2020	283	39	1
19/08/2020	257	35	1
20/08/2020	227	36	7
21/08/2020	252	31	3
22/08/2020	136	27	6
23/08/2020	150	22	3
24/08/2020	297	36	8
25/08/2020	283	40	3
26/08/2020	313	27	6
27/08/2020	274	31	1
28/08/2020	280	22	4
29/08/2020	128	22	2
30/08/2020	186	20	4
31/08/2020	315	42	1
01/09/2020	294	20	3
02/09/2020	271	28	4
03/09/2020	273	18	3
04/09/2020	230	32	5
05/09/2020	156	22	3
06/09/2020	207	31	7
07/09/2020	217	20	0
08/09/2020	393	26	2
09/09/2020	353	31	3
10/09/2020	323	25	3
11/09/2020	313	32	4
12/09/2020	202	11	4
13/09/2020	263	17	3
14/09/2020	462	32	5
15/09/2020	414	30	3
16/09/2020	457	46	6
17/09/2020	441	34	5
18/09/2020	292	36	3
19/09/2020	217	21	5
20/09/2020	221	24	5
21/09/2020	559	29	3
22/09/2020	497	34	3
23/09/2020	613	38	4
24/09/2020	542	41	3
25/09/2020	463	46	5
26/09/2020	280	27	5
27/09/2020	382	35	2
28/09/2020	437	38	3
29/09/2020	723	50	6
30/09/2020	605	51	9
01/10/2020	705	41	5
02/10/2020	605	49	3
03/10/2020	300	25	5
04/10/2020	335	44	7
05/10/2020	766	56	0
06/10/2020	571	47	3
07/10/2020	542	45	4
08/10/2020	525	47	5
09/10/2020	524	54	2
10/10/2020	314	38	4
11/10/2020	281	49	7
12/10/2020	515	51	8
13/10/2020	588	49	5
14/10/2020	583	58	6
15/10/2020	605	74	8
16/10/2020	503	49	7
17/10/2020	366	35	5
18/10/2020	412	40	4
19/10/2020	626	68	7
20/10/2020	601	73	5
21/10/2020	653	53	5
22/10/2020	759	53	4
23/10/2020	601	60	5
24/10/2020	386	47	1
25/10/2020	362	44	9
26/10/2020	695	55	4
27/10/2020	742	46	8
28/10/2020	783	44	4
29/10/2020	621	59	4
30/10/2020	654	61	10
31/10/2020	403	47	4
01/11/2020	501	54	13
02/11/2020	953	64	10
03/11/2020	903	76	12
04/11/2020	1113	68	9
05/11/2020	1139	85	9
06/11/2020	1037	63	10
07/11/2020	845	60	13
08/11/2020	788	64	8
09/11/2020	1546	78	5
10/11/2020	1599	87	7
11/11/2020	1541	99	9
12/11/2020	1501	79	16
13/11/2020	1494	92	6
14/11/2020	1026	100	9
15/11/2020	896	90	14
16/11/2020	1832	124	8
17/11/2020	1730	102	10
18/11/2020	1753	119	10
19/11/2020	1857	131	9
20/11/2020	1773	134	7
21/11/2020	1290	119	11
22/11/2020	1148	114	10
23/11/2020	2318	149	13
24/11/2020	2073	130	16
25/11/2020	2370	138	13
26/11/2020	817	154	7
27/11/2020	2298	158	15
28/11/2020	1835	126	13
29/11/2020	1881	166	15
30/11/2020	2893	187	18
01/12/2020	3299	202	20
02/12/2020	3129	172	27
03/12/2020	2939	215	18
04/12/2020	2816	182	26
05/12/2020	1887	177	23
06/12/2020	1756	177	21
07/12/2020	3304	221	19
08/12/2020	3059	224	22
09/12/2020	3106	275	27
10/12/2020	3150	245	25
11/12/2020	2980	247	30
12/12/2020	2206	209	34
13/12/2020	2176	225	26
14/12/2020	3578	264	30
15/12/2020	3681	236	32
16/12/2020	2787	215	39
17/12/2020	1926	229	35
18/12/2020	3427	273	39
19/12/2020	2557	240	30
20/12/2020	2346	243	29
21/12/2020	4337	331	41
22/12/2020	4100	285	53
23/12/2020	3843	302	39
24/12/2020	3015	277	39
25/12/2020	1046	266	39
26/12/2020	3455	267	37
27/12/2020	2888	244	44
28/12/2020	5392	350	43
29/12/2020	5206	323	49
30/12/2020	4985	316	40
31/12/2020	3393	284	41
01/01/2021	1339	301	35
02/01/2021	4202	326	57
03/01/2021	3465	300	39
04/01/2021	6603	408	61
05/01/2021	6156	350	65
06/01/2021	5684	379	59
07/01/2021	5445	360	52
08/01/2021	5298	355	60
09/01/2021	3690	328	70
10/01/2021	3199	309	52
11/01/2021	5915	404	58
12/01/2021	5235	396	73
13/01/2021	5176	430	67
14/01/2021	5259	433	65
15/01/2021	4845	393	62
16/01/2021	3478	370	66
17/01/2021	2921	335	55
18/01/2021	4642	446	73
19/01/2021	5140	388	81
20/01/2021	4908	376	74
21/01/2021	4938	419	63
22/01/2021	4715	432	79
23/01/2021	3461	325	78
24/01/2021	2930	336	68
25/01/2021	5817	407	65
26/01/2021	4866	369	78
27/01/2021	5005	426	90
28/01/2021	4794	392	86
29/01/2021	3671	409	88
30/01/2021	2877	269	79
31/01/2021	2894	307	73
01/02/2021	980	288	64
02/02/2021	2660	402	77
03/02/2021	5145	438	76
04/02/2021	4853	430	90
05/02/2021	4158	441	81
06/02/2021	3080	362	76
07/02/2021	1645	311	78
08/02/2021	4432	391	81
09/02/2021	3735	395	71
10/02/2021	3777	361	78
11/02/2021	3413	319	96
12/02/2021	3314	345	81
13/02/2021	2205	279	82
14/02/2021	1894	244	80
15/02/2021	2861	321	82
16/02/2021	3723	349	85
17/02/2021	3436	292	80
18/02/2021	2048	261	54
19/02/2021	3019	303	57
20/02/2021	2494	296	69
21/02/2021	2285	270	59
22/02/2021	3627	350	74
23/02/2021	3472	328	73
24/02/2021	3464	354	79
25/02/2021	3483	291	72
26/02/2021	3240	328	71
27/02/2021	2017	242	65
28/02/2021	2038	244	69
01/03/2021	3726	324	62
02/03/2021	3110	273	53
03/03/2021	3243	305	71
04/03/2021	3121	298	60
05/03/2021	2888	256	54
06/03/2021	2043	242	56
07/03/2021	1875	246	60
08/03/2021	3402	294	67
09/03/2021	3342	281	71
10/03/2021	3201	280	62
11/03/2021	3106	293	56
12/03/2021	3203	293	72
13/03/2021	2176	221	62
14/03/2021	1924	252	40
15/03/2021	3390	293	44
16/03/2021	3195	250	64
17/03/2021	3173	276	44
18/03/2021	2918	306	59
19/03/2021	3049	258	45
20/03/2021	2159	261	49
21/03/2021	2089	271	50
22/03/2021	3881	327	54
23/03/2021	3250	282	54
24/03/2021	3454	294	42
25/03/2021	3798	310	70
26/03/2021	3416	313	64
27/03/2021	2222	264	52
28/03/2021	1752	208	57
29/03/2021	3557	303	48
30/03/2021	3188	265	42
31/03/2021	3186	293	61
01/04/2021	2865	265	57
02/04/2021	2618	265	54
03/04/2021	2051	236	48
04/04/2021	1467	217	47
05/04/2021	3270	269	53
06/04/2021	3003	229	46
07/04/2021	2762	221	42
08/04/2021	2574	220	54
09/04/2021	2468	205	54
